Date & Time,Home Team,Away Team,Home Score,Away Score,Home Set Scores,Away Set Scores
25.04. 11:00,Milano,Modena,1,3,25 20 20 15,16 25 25 25
24.04. 11:00,Lube Civitanova,Perugia,3,1,25 25 21 25,20 22 25 21
22.04. 12:00,Milano,Verona,3,1,22 25 25 25,25 20 20 20
22.04. 11:00,Piacenza,Modena,0,3,21 16 21,25 25 25
21.04. 13:30,Perugia,Lube Civitanova,0,3,20 18 14,25 25 25
18.04. 11:00,Lube Civitanova,Perugia,2,3,25 21 25 25 12,21 25 27 23 15
18.04. 11:00,Modena,Padova,3,1,25 25 22 25,19 21 25 21
18.04. 11:00,Piacenza,Ravenna,3,1,27 25 25 26,29 19 20 24
18.04. 11:00,Verona,Cisterna,3,1,25 19 28 32,23 25 26 30
18.04. 11:00,Vibo Valentia,Milano,0,3,28 18 20,30 25 25
15.04. 12:30,Padova,Piacenza,1,3,25 18 19 19,23 25 25 25
15.04. 12:00,Milano,Verona,0,3,19 17 11,25 25 25
14.04. 12:00,Ravenna,Vibo Valentia,3,0,25 25 25,23 22 18
14.04. 10:30,Perugia,Lube Civitanova,1,3,23 25 20 20,25 22 25 25
14.04. 10:00,Cisterna,Modena,2,3,29 24 25 23 15,27 26 21 25 17
12.04. 10:00,Milano,Ravenna,3,0,25 25 25,19 23 18
11.04. 10:00,Modena,Verona,3,1,19 25 25 25,25 23 23 21
11.04. 10:00,Vibo Valentia,Piacenza,0,3,20 20 20,25 25 25
10.04. 11:00,Padova,Cisterna,3,0,25 25 25,17 19 15
08.04. 12:00,Ravenna,Cisterna,2,3,23 25 25 28 16,25 23 23 30 18
08.04. 11:00,Piacenza,Milano,1,3,17 27 14 15,25 25 25 25
08.04. 11:00,Vibo Valentia,Modena,0,3,17 20 25,25 25 27
07.04. 13:30,Trentino,Lube Civitanova,0,3,19 23 23,25 25 25
07.04. 12:30,Verona,Padova,3,0,25 25 25,19 20 22
04.04. 12:00,Verona,Ravenna,3,2,20 25 22 25 15,25 23 25 21 12
04.04. 11:15,Perugia,Monza,3,0,25 25 25,19 21 21
04.04. 11:00,Cisterna,Piacenza,2,3,13 25 22 27 9,25 20 25 25 15
04.04. 10:00,Lube Civitanova,Trentino,3,1,25 25 25 25,27 22 17 21
03.04. 11:00,Padova,Vibo Valentia,3,0,25 27 25,22 25 19
03.04. 10:00,Modena,Milano,1,3,22 20 27 24,25 25 25 26
01.04. 13:00,Trentino,Lube Civitanova,0,3,23 23 17,25 25 25
31.03. 13:00,Ravenna,Padova,3,1,25 21 25 25,19 25 23 17
31.03. 12:00,Piacenza,Modena,3,0,25 25 25,18 20 19
31.03. 11:00,Monza,Perugia,1,3,22 25 29 19,25 22 31 25
31.03. 11:00,Milano,Cisterna,3,2,25 25 18 35 15,22 22 25 37 13
31.03. 10:00,Vibo Valentia,Verona,3,1,25 25 16 25,23 23 25 18
28.03. 12:00,Milano,Padova,3,2,16 25 22 25 15,25 20 25 17 9
28.03. 11:00,Lube Civitanova,Trentino,2,3,25 21 25 24 12,23 25 21 26 15
28.03. 11:00,Cisterna,Vibo Valentia,3,0,25 25 25,12 18 18
28.03. 10:00,Modena,Ravenna,2,3,23 25 25 20 17,25 23 14 25 19
27.03. 14:15,Perugia,Monza,3,2,21 25 25 23 15,25 21 19 25 12
27.03. 12:00,Piacenza,Verona,3,2,27 21 25 25 15,29 25 22 15 8
21.03. 12:00,Perugia,Milano,3,0,25 25 25,14 23 22
20.03. 12:00,Monza,Vibo Valentia,3,2,25 17 25 22 16,21 25 22 25 14
17.03. 11:30,Modena,Lube Civitanova,1,3,25 21 20 22,23 25 25 25
14.03. 13:00,Milano,Perugia,1,3,25 23 23 20,23 25 25 25
14.03. 12:00,Piacenza,Trentino,1,3,17 27 18 22,25 25 25 25
14.03. 11:30,Lube Civitanova,Modena,3,0,25 33 25,17 31 20
14.03. 09:45,Vibo Valentia,Monza,3,0,25 33 30,18 31 28
10.03. 13:30,Trentino,Piacenza,3,2,25 23 22 25 15,18 25 25 20 8
10.03. 12:00,Perugia,Milano,2,3,25 25 25 31 17,18 21 27 33 19
09.03. 11:00,Monza,Vibo Valentia,3,1,25 25 24 25,20 22 26 22
06.03. 14:10,Milano,Verona,3,0,25 25 25,18 23 23
28.02. 12:30,Verona,Milano,3,1,20 25 25 25,25 18 20 21
28.02. 11:00,Padova,Piacenza,1,3,17 20 25 20,25 25 22 25
27.02. 13:30,Ravenna,Modena,0,3,22 22 25,25 25 27
21.02. 11:00,Milano,Verona,3,1,25 25 20 32,16 19 25 30
21.02. 10:00,Piacenza,Padova,3,1,22 25 25 32,25 22 19 30
20.02. 10:00,Modena,Ravenna,3,0,31 25 25,29 21 21
10.02. 13:30,Monza,Verona,3,0,25 25 25,16 23 23
10.02. 13:30,Ravenna,Milano,1,3,14 22 25 18,25 25 21 25
07.02. 12:30,Piacenza,Milano,3,2,25 18 25 18 15,22 25 15 25 11
07.02. 11:00,Padova,Verona,3,2,23 25 25 13 15,25 23 22 25 10
06.02. 12:00,Trentino,Ravenna,3,1,25 23 25 25,19 25 23 19
06.02. 11:00,Perugia,Monza,0,3,12 18 20,25 25 25
06.02. 10:00,Modena,Cisterna,3,1,26 19 25 25,24 25 13 18
06.02. 07:45,Vibo Valentia,Lube Civitanova,3,2,22 21 25 25 15,25 25 22 21 10
03.02. 13:30,Ravenna,Padova,3,1,27 25 19 25,25 17 25 22
03.02. 12:30,Milano,Trentino,3,0,25 25 25,22 23 22
03.02. 12:30,Verona,Modena,1,3,21 25 23 21,25 15 25 25
03.02. 11:00,Lube Civitanova,Perugia,2,3,25 23 25 20 14,21 25 23 25 16
03.02. 11:00,Monza,Piacenza,0,3,20 30 22,25 32 25
02.02. 10:30,Cisterna,Vibo Valentia,3,2,15 27 21 25 15,25 25 25 21 12
24.01. 13:30,Ravenna,Monza,1,3,25 21 15 15,22 25 25 25
24.01. 12:30,Piacenza,Verona,3,1,25 25 23 25,17 19 25 20
24.01. 11:00,Modena,Perugia,1,3,25 21 18 21,23 25 25 25
24.01. 10:00,Cisterna,Lube Civitanova,0,3,18 18 21,25 25 25
24.01. 10:00,Vibo Valentia,Trentino,0,3,13 16 20,25 25 25
24.01. 09:00,Milano,Padova,3,1,26 25 25 25,28 22 17 20
21.01. 11:00,Milano,Modena,3,2,20 30 25 21 20,25 28 18 25 18
21.01. 10:00,Lube Civitanova,Monza,3,1,25 25 22 25,20 19 25 23
19.01. 13:30,Monza,Vibo Valentia,3,1,21 25 25 25,25 21 18 21
17.01. 12:30,Verona,Ravenna,0,3,23 23 22,25 25 25
17.01. 11:00,Perugia,Milano,3,1,25 23 25 25,18 25 16 21
17.01. 09:00,Padova,Piacenza,2,3,26 25 26 16 11,24 17 28 25 15
16.01. 11:00,Lube Civitanova,Modena,3,2,25 28 25 16 15,20 30 19 25 10
16.01. 10:00,Trentino,Cisterna,3,1,24 26 25 25,26 24 20 18
14.01. 12:00,Vibo Valentia,Milano,3,1,25 18 25 25,21 25 22 12
13.01. 12:00,Trentino,Padova,3,0,25 25 35,13 22 33
12.01. 11:00,Piacenza,Modena,0,3,33 15 22,35 25 25
10.01. 13:30,Ravenna,Perugia,0,3,21 21 22,25 25 25
10.01. 12:30,Milano,Lube Civitanova,2,3,21 32 25 22 10,25 30 23 25 15
10.01. 11:00,Trentino,Monza,3,2,25 20 25 20 15,16 25 17 25 13
10.01. 10:00,Cisterna,Verona,0,3,23 22 23,25 25 25
09.01. 11:30,Piacenza,Vibo Valentia,3,1,22 27 25 25,25 25 20 22
07.01. 12:00,Monza,Ravenna,3,1,25 25 22 25,20 16 25 22
06.01. 10:00,Trentino,Milano,3,0,25 25 25,18 17 15
