date_time,home_team,away_team,set_number,home_set_score,away_set_score,home_score,away_score
28.04. 11:00,Monza,Perugia,1,25,19,1,3
28.04. 11:00,Monza,Perugia,2,23,25,1,3
28.04. 11:00,Monza,Perugia,3,25,27,1,3
28.04. 11:00,Monza,Perugia,4,20,25,1,3
27.04. 13:30,Milano,Trentino,1,25,21,3,1
27.04. 13:30,Milano,Trentino,2,18,25,3,1
27.04. 13:30,Milano,Trentino,3,25,20,3,1
27.04. 13:30,Milano,Trentino,4,25,21,3,1
27.04. 11:00,Verona,Lube Civitanova,1,25,23,1,3
27.04. 11:00,Verona,Lube Civitanova,2,18,25,1,3
27.04. 11:00,Verona,Lube Civitanova,3,24,26,1,3
27.04. 11:00,Verona,Lube Civitanova,4,22,25,1,3
25.04. 11:00,Perugia,Monza,1,25,15,3,1
25.04. 11:00,Perugia,Monza,2,25,18,3,1
25.04. 11:00,Perugia,Monza,3,24,26,3,1
25.04. 11:00,Perugia,Monza,4,25,19,3,1
24.04. 13:30,Trentino,Milano,1,22,25,0,3
24.04. 13:30,Trentino,Milano,2,23,25,0,3
24.04. 13:30,Trentino,Milano,3,14,25,0,3
22.04. 13:30,Piacenza,Lube Civitanova,1,18,25,2,3
22.04. 13:30,Piacenza,Lube Civitanova,2,24,26,2,3
22.04. 13:30,Piacenza,Lube Civitanova,3,25,21,2,3
22.04. 13:30,Piacenza,Lube Civitanova,4,27,25,2,3
22.04. 13:30,Piacenza,Lube Civitanova,5,12,15,2,3
22.04. 13:30,Verona,Modena,1,25,22,3,1
22.04. 13:30,Verona,Modena,2,25,22,3,1
22.04. 13:30,Verona,Modena,3,23,25,3,1
22.04. 13:30,Verona,Modena,4,25,19,3,1
21.04. 08:15,Monza,Perugia,1,25,20,3,2
21.04. 08:15,Monza,Perugia,2,23,25,3,2
21.04. 08:15,Monza,Perugia,3,21,25,3,2
21.04. 08:15,Monza,Perugia,4,25,19,3,2
21.04. 08:15,Monza,Perugia,5,15,11,3,2
20.04. 13:30,Milano,Trentino,1,26,24,3,2
20.04. 13:30,Milano,Trentino,2,17,25,3,2
20.04. 13:30,Milano,Trentino,3,25,16,3,2
20.04. 13:30,Milano,Trentino,4,25,27,3,2
20.04. 13:30,Milano,Trentino,5,22,20,3,2
18.04. 13:30,Perugia,Monza,1,27,25,3,1
18.04. 13:30,Perugia,Monza,2,25,18,3,1
18.04. 13:30,Perugia,Monza,3,23,25,3,1
18.04. 13:30,Perugia,Monza,4,25,23,3,1
17.04. 13:30,Trentino,Milano,1,23,25,3,2
17.04. 13:30,Trentino,Milano,2,25,18,3,2
17.04. 13:30,Trentino,Milano,3,23,25,3,2
17.04. 13:30,Trentino,Milano,4,25,19,3,2
17.04. 13:30,Trentino,Milano,5,15,11,3,2
17.04. 13:30,Modena,Padova,1,25,18,3,1
17.04. 13:30,Modena,Padova,2,25,16,3,1
17.04. 13:30,Modena,Padova,3,23,25,3,1
17.04. 13:30,Modena,Padova,4,25,17,3,1
17.04. 13:30,Piacenza,Lube Civitanova,1,14,25,1,3
17.04. 13:30,Piacenza,Lube Civitanova,2,22,25,1,3
17.04. 13:30,Piacenza,Lube Civitanova,3,25,20,1,3
17.04. 13:30,Piacenza,Lube Civitanova,4,21,25,1,3
17.04. 13:30,Verona,Cisterna,1,25,23,3,0
17.04. 13:30,Verona,Cisterna,2,25,15,3,0
17.04. 13:30,Verona,Cisterna,3,27,25,3,0
14.04. 11:00,Trentino,Monza,1,18,25,2,3
14.04. 11:00,Trentino,Monza,2,22,25,2,3
14.04. 11:00,Trentino,Monza,3,25,23,2,3
14.04. 11:00,Trentino,Monza,4,26,24,2,3
14.04. 11:00,Trentino,Monza,5,15,17,2,3
14.04. 11:00,Lube Civitanova,Cisterna,1,25,18,3,0
14.04. 11:00,Lube Civitanova,Cisterna,2,25,19,3,0
14.04. 11:00,Lube Civitanova,Cisterna,3,25,11,3,0
14.04. 10:00,Padova,Piacenza,1,20,25,0,3
14.04. 10:00,Padova,Piacenza,2,21,25,0,3
14.04. 10:00,Padova,Piacenza,3,19,25,0,3
13.04. 13:30,Verona,Modena,1,25,15,3,0
13.04. 13:30,Verona,Modena,2,25,18,3,0
13.04. 13:30,Verona,Modena,3,25,22,3,0
11.04. 13:30,Milano,Perugia,1,25,18,1,3
11.04. 13:30,Milano,Perugia,2,24,26,1,3
11.04. 13:30,Milano,Perugia,3,20,25,1,3
11.04. 13:30,Milano,Perugia,4,18,25,1,3
11.04. 13:30,Monza,Trentino,1,22,25,3,1
11.04. 13:30,Monza,Trentino,2,25,23,3,1
11.04. 13:30,Monza,Trentino,3,25,23,3,1
11.04. 13:30,Monza,Trentino,4,25,11,3,1
10.04. 13:30,Cisterna,Padova,1,19,25,3,1
10.04. 13:30,Cisterna,Padova,2,25,14,3,1
10.04. 13:30,Cisterna,Padova,3,25,21,3,1
10.04. 13:30,Cisterna,Padova,4,25,19,3,1
10.04. 13:30,Lube Civitanova,Verona,1,22,25,0,3
10.04. 13:30,Lube Civitanova,Verona,2,23,25,0,3
10.04. 13:30,Lube Civitanova,Verona,3,17,25,0,3
10.04. 13:00,Piacenza,Modena,1,25,15,3,1
10.04. 13:00,Piacenza,Modena,2,20,25,3,1
