Team,avg_points,win_rate,recent_home_avg,recent_away_avg,home_set_variance,away_set_variance,home_last_5_games_avg,away_last_5_games_avg
Cisterna,1.512409200968523,0.7327481840193704,1.4,0.4,1.385714285714286,1.3027469316189362,1.4,0.4
Lube Civitanova,2.3247899159663863,0.861764705882353,2.6,3.0,1.05776397515528,1.4363476733977172,2.6,3.0
Milano,1.9782608695652173,0.8260869565217391,2.2,2.4,1.239556692242114,1.5375106564364878,2.2,2.4
Modena,1.9979537794896485,0.816080885893115,1.6,2.6,1.2408778424114224,1.6440524649479875,1.6,2.6
Monza,1.93028083028083,0.7968253968253969,2.0,1.8,1.5473630312339985,1.5350961538461538,2.0,1.8
Padova,1.4148902821316613,0.6835423197492163,1.2,0.8,1.5434343434343434,1.3711433756805806,1.2,0.8
Perugia,2.6523809523809523,0.9619047619047618,3.0,2.4,0.5084886128364392,0.6589861751152075,3.0,2.4
Piacenza,2.165872156013001,0.8814734561213435,1.2,2.4,1.1275653923541247,1.3038461538461539,1.2,2.4
Ravenna,1.074074074074074,0.6375661375661376,1.8,1.0,1.054131054131054,1.1851851851851851,1.8,1.0
Saturnia Acicastello,0.9545454545454546,0.6363636363636364,1.6,0.2,1.0727272727272728,0.27272727272727265,1.6,0.2
Siena,1.0454545454545454,0.5454545454545454,1.2,1.0,1.6909090909090914,1.4,1.2,1.0
Taranto,1.3016194331983806,0.689608636977058,1.8,1.0,1.2830725462304406,1.2307692307692308,1.8,1.0
Trentino,2.3727789623312012,0.9071310116086235,1.6,2.2,0.8900949796472185,1.152073732718894,1.6,2.2
Verona,1.8348045397225725,0.8036569987389659,1.4,2.0,1.3491803278688528,1.471153846153846,1.4,2.0
Vibo Valentia,1.5178571428571428,0.6607142857142858,1.6,2.4,1.8558201058201058,1.6455026455026451,1.6,2.4
